billing_date,provider,billing_account_id,resource_id,service_name,usage_type,region,team,project,environment,usage_quantity,usage_unit,cost_amount,currency
2026-01-23,GCP,gcp-3001,gcp-resource-00001,Compute,Instance Hours,europe-west1,Data Platform,Data Governance,Production,339.97,hours,123.11,EUR
2026-05-31,AWS,aws-1002,aws-resource-00002,Storage,Object Storage,eu-west-1,Customer Product,Customer Portal,test,274.75,GB,7.55,EUR
2026-04-02,GCP,gcp-3001,gcp-resource-00003,Networking,Public IP,europe-west1,Infrastructure,Shared Services,Development,55.59,GB,4.29,EUR
2026-05-28,GCP,gcp-3001,gcp-resource-00004,Networking,Data Transfer,europe-west1,,Data Governance,test,311.17,GB,27.59,EUR
2026-04-04,GCP,gcp-3001,gcp-resource-00005,Storage,Disk Storage,europe-north1,Infrastructure,Cloud Migration,DEV,142.6,GB,4.45,EUR
2026-06-13,AWS,aws-1001,aws-resource-00006,Database,Read Operations,eu-west-1,Data Platform,Analytics Platform,DEV,192.83,hours,77.4,EUR
2026-06-17,AWS,aws-1002,aws-resource-00007,Compute,CPU Hours,eu-central-1,Infrastructure,Shared Services,Test,438.8,hours,74.59,EUR
2026-04-13,AWS,aws-1002,aws-resource-00008,Database,Database Hours,eu-west-1,Customer Product,Customer Portal,test,294.37,hours,115.33,EUR
2026-01-17,GCP,gcp-3001,gcp-resource-00009,Networking,Public IP,europe-north1,Data Platform,Analytics Platform,prod,397.08,GB,55.84,EUR
2026-03-17,GCP,gcp-3001,gcp-resource-00010,Database,Database Hours,europe-north1,Data Platform,Analytics Platform,Development,385.46,hours,128.44,EUR
2026-04-06,AWS,aws-1001,aws-resource-00011,Database,Database Hours,eu-central-1,Customer Product,Customer Portal,test,256.29,hours,81.6,EUR
2026-05-26,Azure,az-2001,azure-resource-00012,Compute,Instance Hours,northeurope,Data Platform,Data Governance,Development,123.53,hours,20.51,EUR
2026-02-24,AWS,aws-1001,aws-resource-00013,Storage,Disk Storage,eu-central-1,Customer Product,Mobile Application,Test,436.85,GB,12.8,EUR
2026-05-31,GCP,gcp-3001,gcp-resource-00014,Database,Database Hours,europe-west1,Security,Threat Monitoring,Development,15.41,hours,5.48,EUR
2026-05-05,GCP,gcp-3001,gcp-resource-00015,Compute,Instance Hours,europe-north1,Customer Product,Customer Portal,Production,259.51,hours,78.49,EUR
2026-01-14,AWS,aws-1001,aws-resource-00016,Networking,Data Transfer,eu-central-1,Security,Identity Platform,Development,214.67,GB,17.0,EUR
2026-03-05,GCP,gcp-3001,gcp-resource-00017,Database,Read Operations,europe-west1,Data Platform,Analytics Platform,prod,213.83,hours,125.76,EUR
2026-02-12,AWS,aws-1002,aws-resource-00018,Compute,Instance Hours,eu-central-1,Data Platform,Analytics Platform,prod,433.0,hours,157.23,EUR
2026-02-18,Azure,az-2002,azure-resource-00019,Networking,Data Transfer,westeurope,Infrastructure,Shared Services,Test,332.63,GB,26.5,EUR
2026-01-21,GCP,gcp-3001,gcp-resource-00020,Compute,Instance Hours,europe-west1,,Cloud Migration,Test,82.93,hours,16.99,EUR
2026-04-18,GCP,gcp-3001,gcp-resource-00021,Storage,Disk Storage,europe-west1,Security,Identity Platform,Test,299.29,GB,9.3,EUR
2026-01-19,GCP,gcp-3001,gcp-resource-00022,Database,Read Operations,europe-west1,Customer Product,Mobile Application,Development,231.33,hours,91.39,EUR
2026-05-20,AWS,aws-1002,aws-resource-00023,Storage,Object Storage,eu-central-1,Infrastructure,Cloud Migration,prod,187.92,GB,9.11,EUR
2026-02-23,GCP,gcp-3001,gcp-resource-00024,Compute,Instance Hours,europe-north1,Customer Product,Mobile Application,Test,81.95,hours,13.79,EUR
2026-02-03,GCP,gcp-3001,gcp-resource-00025,Networking,Data Transfer,europe-north1,Infrastructure,Cloud Migration,Development,26.82,GB,2.04,EUR
2026-05-30,GCP,gcp-3001,gcp-resource-00026,Networking,Public IP,europe-west1,,Analytics Platform,prod,275.07,GB,43.59,EUR
2026-05-24,AWS,aws-1002,aws-resource-00027,Database,Database Hours,eu-west-1,Infrastructure,Cloud Migration,prod,335.13,hours,201.86,EUR
2026-03-05,AWS,aws-1002,aws-resource-00028,Storage,Object Storage,eu-west-1,Security,Identity Platform,DEV,402.11,GB,13.38,EUR
2026-02-28,Azure,az-2001,azure-resource-00029,Compute,Instance Hours,westeurope,Security,Identity Platform,Development,156.07,hours,30.58,EUR
2026-05-18,Azure,az-2002,azure-resource-00030,Database,Database Hours,westeurope,Infrastructure,Cloud Migration,test,257.16,hours,94.85,EUR
